Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Ecuador,ECU,2014,Coverage: Finished Primary School,2.0.cov.FPS,75.646549076999
Ecuador,ECU,2012,Coverage: Finished Primary School,2.0.cov.FPS,76.1203255594668
Ecuador,ECU,2000,Coverage: Finished Primary School,2.0.cov.FPS,67.6863781887405
Ecuador,ECU,2014,HOI: Finished Primary School,2.0.hoi.FPS,73.9781813804623
Ecuador,ECU,2012,HOI: Finished Primary School,2.0.hoi.FPS,74.1468574574837
Ecuador,ECU,2000,HOI: Finished Primary School,2.0.hoi.FPS,65.0821266714235
Ecuador,ECU,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.11
Ecuador,ECU,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.63
Ecuador,ECU,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.71
Ecuador,ECU,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.86
Ecuador,ECU,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.54
Ecuador,ECU,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,9.46
Ecuador,ECU,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8
Ecuador,ECU,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,13.1
Ecuador,ECU,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,15.07
Ecuador,ECU,1965,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.82
Ecuador,ECU,1960,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,22.3
Ecuador,ECU,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.3
Ecuador,ECU,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.53
Ecuador,ECU,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.13
Ecuador,ECU,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.43
Ecuador,ECU,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.29
Ecuador,ECU,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.03
Ecuador,ECU,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.3
